Input Size,Insertion Sort Time,Merge Sort Time
1,1.317e-07,1.125e-07
5,7.137e-07,4.0629e-06
10,2.6458e-06,9.6267e-06
15,5.0179e-06,1.62163e-05
20,7.6329e-06,2.23212e-05
25,1.39367e-05,2.99617e-05
30,1.7365e-05,3.444e-05
35,2.40058e-05,4.488e-05
40,2.48475e-05,4.82392e-05
45,2.86033e-05,5.55646e-05
50,4.57254e-05,6.19521e-05
55,4.69071e-05,6.8695e-05
60,6.15992e-05,7.75321e-05
65,6.85575e-05,8.78421e-05
70,8.33271e-05,9.17629e-05
75,9.7785e-05,9.89708e-05
80,9.24392e-05,0.0001092879
85,0.0001195225,0.0001135708
90,0.0001312583,0.0001205033
95,0.000161945,0.0001281946
100,0.0001543125,0.0001362292
105,0.0001483717,0.0001435004
110,0.0001881079,0.0001544829
115,0.0002276075,0.0001595421
120,0.0002111225,0.0001656325
125,0.0002546633,0.0001738342
130,0.0002709517,0.0001808258
135,0.0002697054,0.0001899296
140,0.0002766967,0.0001978504
145,0.0003095092,0.0002074108
150,0.0003632825,0.0002153346
155,0.0003841825,0.0002228812
160,0.0004212338,0.0002366567
165,0.000421125,0.0002380883
170,0.0004263479,0.0002454438
175,0.0005135808,0.0002561296
180,0.0004680538,0.0002647175
185,0.0005214462,0.0002729588
190,0.0005551542,0.0002795225
195,0.0005776971,0.0002886708
200,0.0006254467,0.0002953133
205,0.0006316458,0.0003030054
210,0.0007122867,0.0003103708
215,0.0007088875,0.0003186083
220,0.0007497508,0.0003295925
225,0.0007034942,0.0003357975
230,0.0007825079,0.0003482637
235,0.0008157279,0.0003525271
240,0.0009151483,0.0003617592
245,0.0009219313,0.0003690125
250,0.0009574838,0.0003753833
255,0.0010074837,0.0003866571
260,0.0010117221,0.0004020887
265,0.0018299021,0.0004122117
270,0.0011513346,0.0004184988
275,0.0011994842,0.0004255587
280,0.0012661633,0.0004336687
285,0.0012515346,0.0004436008
290,0.0013298525,0.0004527508
295,0.0013643792,0.0004604558
300,0.0013512,0.000470195
305,0.0014801204,0.0004789421
310,0.0014557642,0.00048594
315,0.0014637412,0.0005030488
320,0.0015805012,0.00050683
325,0.0015938367,0.0005161162
330,0.0015999971,0.0005251858
335,0.0017730763,0.0005376425
340,0.0017024467,0.0005451383
345,0.0017373912,0.0005576475
350,0.0018653017,0.0005608342
